Finished On,Title,Duration
12/07/2023,"Daily Meditation",618
12/06/2023,"Daily Meditation",24
12/06/2023,"Daily Meditation",612
12/06/2023,"Daily Meditation",613
12/05/2023,"Daily Meditation",643
12/05/2023,"Daily Meditation",622
12/05/2023,"Daily Meditation",714
12/03/2023,"Daily Meditation",613
12/03/2023,"Solitude and Loneliness",429
12/02/2023,"Daily Meditation",619
12/01/2023,"Daily Meditation",614
12/01/2023,"Daily Meditation",619
12/01/2023,"Daily Meditation",621
11/30/2023,"Daily Meditation",631
11/28/2023,"Daily Meditation",621
11/25/2023,"Daily Meditation",614
11/24/2023,"Daily Meditation",362
11/23/2023,"Daily Meditation",678
11/23/2023,"Daily Meditation",811
11/22/2023,"Daily Meditation",604
11/22/2023,"Daily Meditation",670
11/20/2023,"Daily Meditation",455
11/20/2023,"Looking into Desire & Fear",2132
11/20/2023,"Introduction",181
11/17/2023,"Daily Meditation",635
11/16/2023,"Daily Meditation",623
11/14/2023,"Daily Meditation",628
11/14/2023,"Daily Meditation",621
11/13/2023,"Daily Meditation",631
11/13/2023,"Daily Meditation",618
11/13/2023,"Daily Meditation",699
11/13/2023,"Daily Meditation",614
11/11/2023,"Moment",59
11/11/2023,"Imagining It’s the Last Time",110
11/11/2023,"A Caricature of Yourself",257
11/11/2023,"The Freedom of Emptiness",462
11/11/2023,"The Paradox of Psychedelics",594
11/11/2023,"Notice What Could Be",221
11/11/2023,"Relating to Our Future Self",219
11/11/2023,"Moment",50
11/11/2023,"Don't Meditate Because It's Good for You",410
11/11/2023,"You Are the External World",325
11/11/2023,"Helping and Being Helped",355
11/11/2023,"Death-Bed Visualization",382
11/11/2023,"The Joy of Meditation",212
11/11/2023,"Reflections on Death and Time",382
11/11/2023,"Moment",65
11/11/2023,"Love and Meditation",141
11/11/2023,"The Impossibility of Free Will",432
11/11/2023,"Laws of Behavior Change",644
11/11/2023,"Mindfulness and Physical Suffering",326
11/11/2023,"Autonomy and Emptiness",138
11/11/2023,"Zen Buddhism and Stoicism",598
11/11/2023,"Daily Meditation",620
11/11/2023,"Daily Meditation",614
11/10/2023,"Daily Meditation",654
11/09/2023,"Daily Meditation",610
11/07/2023,"Daily Meditation",608
11/03/2023,"The Second Arrow",181
11/03/2023,"Making Peace with Anxiety",533
11/03/2023,"Death-Bed Visualization",379
11/03/2023,"Planning",617
11/03/2023,"Daily Meditation",608
11/02/2023,"First-World Problems",525
11/02/2023,"Try Something New",471
11/02/2023,"See the Cliff",571
11/02/2023,"Find Solitude",460
11/02/2023,"Now Hear This",406
11/02/2023,"Unpack Hunger",308
11/02/2023,"Leverage Boredom",476
11/02/2023,"Enter the Wilderness",512
11/02/2023,"Be a 2-Percenter",551
11/02/2023,"Daily Meditation",605
11/01/2023,"The Comfort Conundrum",496
10/31/2023,"Daily Meditation",623
10/28/2023,"Daily Meditation",656
10/28/2023,"Daily Meditation",656
10/27/2023,"Moment",66
10/26/2023,"Daily Meditation",611
10/26/2023,"Daily Meditation",621
10/25/2023,"Daily Meditation",614
10/25/2023,"Daily Meditation",614
10/25/2023,"Ethics and Emptiness",4465
10/23/2023,"Break Out of Routine",447
10/23/2023,"Rest and Allow",617
10/23/2023,"The Direct Approach",680
10/23/2023,"Introduction (Sam Harris)",104
10/23/2023,"Who Am I?",677
10/23/2023,"Who Am I?",677
10/22/2023,"Daily Meditation",643
10/22/2023,"Daily Meditation",611
10/22/2023,"Daily Meditation",611
10/22/2023,"Daily Meditation",618
10/21/2023,"Daily Meditation",620
10/21/2023,"The Habit of Force",574
10/20/2023,"Too Many Needles",572
10/20/2023,"Daily Meditation",611
10/20/2023,"Inconceivable",571
10/20/2023,"What Is an Interruption, Anyway?",612
10/19/2023,"Moment",39
10/19/2023,"The Power of Complaining",92
10/19/2023,"The Last Time",277
10/19/2023,"Lose the Monkey",372
10/19/2023,"In the Heard, Only the Heard",370
10/19/2023,"Retracing Your Steps",165
10/19/2023,"What Is Attachment?",430
10/19/2023,"Moment",43
